CLIENTNUM,Card_Category,Income_Category,Customer_Age,Total_Relationship_Count,Total_Trans_Ct,Months_Inactive_12_mon,Contacts_Count_12_mon,Avg_Utilization_Ratio,Actual_Attrition,Churn_Probability,Risk_Tier
815539233,Silver,$80K - $120K,54,1,22,3,4,0.006,Attrited Customer,0.9996,High
708892833,Blue,$120K +,37,2,22,4,4,0.0,Attrited Customer,0.9995,High
711224733,Blue,$120K +,32,3,10,3,4,0.0,Attrited Customer,0.9992,High
718577958,Blue,$120K +,39,2,15,3,4,0.0,Attrited Customer,0.9992,High
720693033,Blue,$60K - $80K,33,1,10,3,4,0.019,Attrited Customer,0.9991,High
803796708,Blue,$120K +,52,2,28,4,4,0.0,Attrited Customer,0.9991,High
709199358,Blue,Less than $40K,60,1,19,3,4,0.0,Attrited Customer,0.999,High
804668658,Blue,Less than $40K,26,3,20,2,4,0.0,Attrited Customer,0.9988,High
789270033,Silver,$80K - $120K,48,3,13,2,3,0.0,Existing Customer,0.9987,High
787482033,Blue,$80K - $120K,60,1,27,5,3,0.0,Attrited Customer,0.9987,High
711013983,Blue,$40K - $60K,55,2,12,4,3,0.0,Attrited Customer,0.9987,High
716387733,Blue,$60K - $80K,49,1,25,4,5,0.262,Attrited Customer,0.9986,High
720610008,Blue,$120K +,59,1,23,5,4,0.051,Attrited Customer,0.9986,High
816013383,Blue,Less than $40K,65,3,27,6,3,0.0,Attrited Customer,0.9984,High
716282208,Blue,Less than $40K,54,3,36,6,3,0.0,Attrited Customer,0.9984,High
752604633,Blue,$40K - $60K,57,2,17,5,3,0.0,Attrited Customer,0.9983,High
720181758,Blue,$120K +,37,3,18,3,4,0.0,Attrited Customer,0.9982,High
719770158,Blue,Less than $40K,54,1,37,4,3,0.0,Attrited Customer,0.9981,High
708288108,Blue,$80K - $120K,43,2,15,5,3,0.274,Attrited Customer,0.9981,High
809849358,Blue,Less than $40K,55,2,36,6,3,0.0,Attrited Customer,0.998,High
713980383,Blue,Unknown,49,1,28,2,4,0.0,Attrited Customer,0.9979,High
720605808,Blue,Less than $40K,53,2,17,2,3,0.0,Attrited Customer,0.9979,High
718653333,Blue,Less than $40K,45,1,31,3,3,0.0,Attrited Customer,0.9977,High
779183958,Blue,Less than $40K,45,1,38,3,4,0.0,Attrited Customer,0.9977,High
716331408,Blue,Less than $40K,52,1,36,4,5,0.0,Attrited Customer,0.9977,High
712030833,Silver,$60K - $80K,48,2,15,4,4,0.0,Attrited Customer,0.9976,High
711357858,Blue,Less than $40K,47,5,13,3,4,0.0,Attrited Customer,0.9976,High
710586483,Blue,Unknown,26,1,23,2,4,0.0,Attrited Customer,0.9975,High
790145733,Silver,$80K - $120K,40,1,26,3,4,0.0,Attrited Customer,0.9973,High
824140908,Blue,$120K +,52,5,27,3,4,0.0,Attrited Customer,0.9973,High
714412308,Blue,$80K - $120K,33,6,18,3,5,0.0,Attrited Customer,0.9972,High
712509108,Gold,Less than $40K,46,1,68,3,5,0.035,Attrited Customer,0.9972,High
714639783,Blue,$60K - $80K,42,3,18,3,3,0.0,Attrited Customer,0.997,High
714871683,Blue,$40K - $60K,58,2,13,4,3,0.373,Attrited Customer,0.9969,High
779216358,Blue,$80K - $120K,48,2,17,2,3,0.0,Attrited Customer,0.9969,High
712551258,Blue,Less than $40K,39,3,17,3,3,0.0,Attrited Customer,0.9969,High
711692508,Blue,Less than $40K,54,3,22,4,3,0.0,Attrited Customer,0.9969,High
721249158,Blue,$60K - $80K,42,2,14,2,3,0.0,Attrited Customer,0.9968,High
713027058,Blue,Less than $40K,46,2,31,2,3,0.0,Attrited Customer,0.9968,High
709564683,Blue,$40K - $60K,32,3,21,3,5,0.0,Attrited Customer,0.9967,High
712677633,Blue,Unknown,42,3,28,3,4,0.0,Attrited Customer,0.9966,High
709537683,Blue,$80K - $120K,37,3,15,4,3,0.08,Attrited Customer,0.9966,High
809599158,Silver,$80K - $120K,48,2,28,3,4,0.0,Attrited Customer,0.9964,High
714374133,Blue,$120K +,56,1,15,3,3,0.0,Attrited Customer,0.9964,High
716299608,Blue,Less than $40K,58,2,31,2,3,0.0,Attrited Customer,0.9963,High
789365508,Blue,$40K - $60K,49,2,26,3,4,0.035,Attrited Customer,0.9963,High
714319233,Blue,$60K - $80K,44,3,33,3,6,0.0,Attrited Customer,0.9962,High
708276183,Blue,Less than $40K,52,2,35,4,1,0.0,Attrited Customer,0.9962,High
716112933,Blue,Unknown,39,3,15,2,3,0.376,Attrited Customer,0.9962,High
797234508,Silver,$60K - $80K,51,3,20,2,4,0.0,Existing Customer,0.9962,High
807593058,Blue,$40K - $60K,41,3,29,2,4,0.0,Attrited Customer,0.9961,High
713804883,Blue,Less than $40K,46,3,28,2,2,0.0,Attrited Customer,0.9961,High
767294658,Blue,$120K +,56,2,14,2,3,0.0,Attrited Customer,0.9961,High
811035483,Silver,$120K +,47,2,35,4,5,0.0,Attrited Customer,0.996,High
771809733,Blue,$40K - $60K,64,1,18,3,3,0.0,Attrited Customer,0.996,High
827451333,Blue,Less than $40K,54,3,37,6,3,0.0,Attrited Customer,0.9958,High
789963033,Blue,Less than $40K,54,3,39,5,5,0.0,Attrited Customer,0.9957,High
719418933,Blue,$80K - $120K,53,1,20,3,3,0.0,Attrited Customer,0.9956,High
712950783,Blue,Less than $40K,48,3,16,2,3,0.0,Attrited Customer,0.9955,High
720460083,Gold,Unknown,45,1,42,2,3,0.0,Attrited Customer,0.9954,High
720379533,Blue,$120K +,47,1,37,3,4,0.0,Attrited Customer,0.9954,High
793608258,Silver,Less than $40K,54,1,50,5,2,0.0,Attrited Customer,0.9954,High
716654808,Blue,$120K +,48,3,31,4,4,0.0,Attrited Customer,0.9953,High
708316008,Blue,Unknown,59,3,29,2,3,0.0,Attrited Customer,0.9953,High
715609533,Blue,Less than $40K,47,1,36,3,3,0.0,Attrited Customer,0.9953,High
712433508,Blue,Unknown,59,3,16,2,3,0.0,Attrited Customer,0.9952,High
772695033,Blue,$80K - $120K,47,3,23,4,4,0.134,Attrited Customer,0.9951,High
708655983,Blue,Unknown,49,3,24,3,2,0.0,Existing Customer,0.9951,High
720122808,Silver,$60K - $80K,52,4,14,4,3,0.015,Attrited Customer,0.995,High
717448383,Blue,$80K - $120K,41,1,36,2,4,0.0,Attrited Customer,0.995,High
713788083,Blue,Less than $40K,28,4,35,2,5,0.0,Attrited Customer,0.995,High
806256333,Blue,$60K - $80K,41,2,26,3,5,0.217,Attrited Customer,0.9949,High
713053383,Blue,$80K - $120K,42,1,12,1,3,0.023,Attrited Customer,0.9947,High
708266883,Blue,Less than $40K,34,1,35,2,3,0.0,Attrited Customer,0.9947,High
711562833,Blue,$80K - $120K,35,6,18,3,4,0.0,Attrited Customer,0.9945,High
708687483,Silver,Less than $40K,54,3,30,2,3,0.0,Attrited Customer,0.9945,High
709161108,Blue,$60K - $80K,44,3,31,2,4,0.0,Attrited Customer,0.9944,High
715919283,Blue,$40K - $60K,39,3,31,2,3,0.0,Attrited Customer,0.9944,High
709745508,Blue,$40K - $60K,58,1,40,4,3,0.0,Attrited Customer,0.9944,High
789322833,Blue,Less than $40K,48,1,18,3,3,0.0,Attrited Customer,0.9943,High
711201108,Blue,Less than $40K,37,3,35,3,3,0.0,Attrited Customer,0.9942,High
711151383,Blue,Less than $40K,34,3,37,2,5,0.168,Attrited Customer,0.9942,High
715409733,Blue,Less than $40K,47,2,33,2,3,0.0,Attrited Customer,0.9941,High
812420358,Blue,Less than $40K,61,3,17,3,3,0.261,Attrited Customer,0.9941,High
717664008,Blue,$60K - $80K,37,2,12,3,4,0.812,Attrited Customer,0.9941,High
712864683,Blue,Less than $40K,42,2,37,3,3,0.0,Attrited Customer,0.994,High
807587433,Blue,Less than $40K,56,4,40,6,5,0.0,Attrited Customer,0.994,High
719808558,Blue,Less than $40K,55,2,27,4,3,0.0,Attrited Customer,0.9939,High
711826983,Blue,$40K - $60K,47,4,38,3,6,0.0,Attrited Customer,0.9938,High
717412608,Blue,$40K - $60K,38,3,16,2,2,0.0,Attrited Customer,0.9937,High
708856983,Blue,$120K +,36,2,18,1,2,0.0,Attrited Customer,0.9937,High
711474333,Blue,Less than $40K,57,3,38,5,2,0.0,Attrited Customer,0.9937,High
709560258,Blue,Unknown,49,2,38,3,4,0.0,Attrited Customer,0.9937,High
715016508,Blue,$40K - $60K,42,1,37,3,4,0.0,Attrited Customer,0.9934,High
712215258,Silver,$40K - $60K,50,2,22,2,3,0.0,Existing Customer,0.9934,High
819610908,Blue,$80K - $120K,38,1,26,4,4,0.063,Attrited Customer,0.9934,High
719318583,Blue,Less than $40K,37,3,13,3,4,0.348,Attrited Customer,0.9932,High
709711758,Blue,Less than $40K,45,3,31,2,2,0.0,Attrited Customer,0.9932,High
713526258,Blue,$120K +,47,3,33,3,4,0.0,Attrited Customer,0.9931,High
708300483,Blue,Unknown,66,5,16,4,3,0.077,Attrited Customer,0.9931,High
719986758,Blue,$40K - $60K,46,5,39,3,6,0.0,Attrited Customer,0.9931,High
710161083,Blue,Less than $40K,62,6,40,3,3,0.0,Attrited Customer,0.9931,High
714192933,Blue,Less than $40K,55,3,44,3,5,0.0,Attrited Customer,0.9931,High
712373208,Blue,$60K - $80K,43,3,19,3,2,0.0,Attrited Customer,0.9931,High
779310033,Blue,Less than $40K,42,3,36,2,3,0.0,Attrited Customer,0.993,High
720725058,Blue,Less than $40K,51,1,33,3,4,0.0,Attrited Customer,0.993,High
714581358,Blue,Less than $40K,48,3,36,3,4,0.0,Attrited Customer,0.9929,High
803028858,Blue,Less than $40K,38,2,36,3,3,0.0,Attrited Customer,0.9928,High
713104458,Blue,$40K - $60K,46,3,25,3,5,0.0,Attrited Customer,0.9924,High
718362783,Blue,$80K - $120K,35,3,21,2,3,0.0,Attrited Customer,0.9924,High
791856033,Blue,$80K - $120K,45,3,27,4,4,0.0,Attrited Customer,0.9923,High
710679933,Blue,$80K - $120K,59,2,58,5,4,0.0,Attrited Customer,0.9923,High
708508758,Blue,Less than $40K,62,2,16,3,3,0.0,Attrited Customer,0.9921,High
778867533,Blue,$40K - $60K,59,1,23,4,1,0.0,Attrited Customer,0.9921,High
772394883,Blue,Unknown,60,3,43,6,3,0.0,Attrited Customer,0.9919,High
